id,sentences,label
1266,blizu 200 migranata bez valjanih dokumenata zaustavljeno je danas u pokušaju prelaska granice bih s hrvatskom na graničnom prijelazu maljevac u velikoj kladuši saznaje klixba,0
1267,na terenu su i pripadnici hrvatske policije a teren nadlijeće i helikopter,1
1268,kako su nam potvrdili iz granične policije bih promet preko graničnog prijelaza se odvijao nesmetano,1
1269,migranti se bili na udaljenosti od gotovo 200 metara od graničnog prijelaza,0
1270,prema zadnjim informacijama migranti se polako u grupama vraćaju prema kampu trnovi gdje su i bili smješteni kazala je snežana galić glasnogovornica mupa usk,0
1271,policija unskosanske županije u bosni i hercegovini nema ovlasti spriječiti dolazak ilegalnih migranata na to područje no poziva vlasti na državnoj razini na poduzimanje učinkovitih mjera kako bi se njihovo kretanje po zemlji kontroliralo te kako bi ih se smještalo u odgovarajuće prihvatne centre priopćili su u ponedjeljak iz sjedišta županijskog ministarstva unutarnjih poslova reagirajući na sve intenzivnije prosvjede građana bihaća,1
1272,prosvjedi građana u bihaću koji strahuju zbog pogoršanja sigurnosnog stanja u tom gradu i regiji prouzročenog sve većim prilivom migranata započeli su u subotu nastavljeni u nedjelju a novi su zakazani za ponedjeljak i sve iduće dane dok se ne počnu provoditi mjere kojima će se vratiti sigurnost na ulice tog grada,1
1273,prosvjednici su od policije proteklog vikenda zatražili da zabrani dolazak novih migranata na područje unskosanske županije s obzirom da ih tamo već boravi nekoliko tisuća a ni za njih nema odgovarajućih uvjeta za smještaj,0
1274,dodatni je razlog za prosvjede povećani broj incidenata u koje su uključeni migranti a iz mupa su potvrdili kako su do sada registrirali više od 50 kaznenih djela koje su oni prouzročili,0
1275,iz županijskog mupa na zahtjeve prosvjednika su se očitovali podsjećanjem kako postojeći zakon o strancima i zakon o azilu jamči slobodu kretanja registriranim tražiteljima azila ili izbjeličkog statusa pa im nije moguće bilo kakvom mjerama prisile zabraniti odlazak u neki dio zemlje,1
1276,dodali su kako su ipak od ministarstva sigurnosti bih zatražili poduzimanje mjera čiji bi cilj bio rasporediti ravnomjerno teret migrantske krize na sve dijelove zemlje i kako bi ovo prestao biti isključivi problem unskosanske županije,1
1277,ministar sigurnosti bih dragan mektić proteklog je vikenda najavio kako bi ovog tjedna trebalo biti dovršeno opremanje centra za smještaj migranata u vojarni ušivak u okolici sarajeva,0
1278,najavio je kako će tamo biti premješteni svi migranti koji sada borave u različitim dijelovima zemlje u improviziranim naseljima,1
1279,antimigrantska retorika na kojoj ‘jašu’ ekstremne desne stranke u europskim zemljama u kojima živi najveći broj izbjeglica i migranata iz prvog velikog vala iz 2015 godine  poput afda u njemačkoj  u posljednje vrijeme sve je prisutnija i u hrvatskom političkom i medijskom prostoru,1
1280,žestoke protumigrantske stavove počeli su sve jasnije iznositi i članovi parlamentarnih stranaka  od hrasta preko neovisnih za hrvatsku do živog zida čiji saborski zastupnik ivan pernar u tome prednjači dijeleći preko svog facebook računa neprovjerene i kako se već u nekoliko slučaja pokazalo  lažne informacije,1
1281,dakle iako je pritisak na hrvatske granice sada neusporedivo manji nego za izbjegličkomigrantskog vala 2015 godine danas je političarima migrantsko pitanje postalo neusporedivo važnije u njihovu pozicioniranju prema biračima,1
1282,protumigrantska retorika hrani se s nekoliko teza  da u hrvatsku više ne ulaze obitelji koje bježe iz ratnih zona kao što je slučaj bio 2015 da se radi o mahom mladim muškarcima bez obitelji da je migranata iz ratom razorenih i danas disfunkcionalnih bliskoistočnih država poput sirije i iraka sve manje a da primat preuzimaju ekonomski migranti iz sjeverne afrike pakistana i afganistana,1
1283,i da su migranti skloni kriminalu točnije da u zemljama u koje dolaze posljedično dolazi do povećanja stope kriminaliteta,1
1284,sve te teze razlike i sličnosti između izbjegličkomigrantskog vala iz 2015 i trenutačnog te u međuvremenu promijenjeni društvenopolitičkom tretman “migrantskog pitanja” i u eu i u hrvatskoj prokomentirali smo sa svojim sugovornicima  osobama koje rade s izbjeglicama i migrantima na terenu još od 2015 novinarom njemačke medijske agencije deutsche welle jedne od najuglednijih u svijetu te političkim tajnikom mosta stranke koja se zalaže za nepropusnu granicu ako treba i uz pomoć  vojske,1
1285,o sličnostima i razlikama vala iz 2015 i trenutačnog stanja na granicama o dobnoj spolnoj i nacionalnoj strukturi tadašnjih i današnjih migranata kao i o njihovim glavnim motivima zbog kojih su krenuli na neizvjestan i često opasan put prema europi za magazin govori tajana tadić iz udruge za pomoć izbjeglim osobama are you syrious koja izbjegličkomigrantski put prema eu prati s terena još od 2015 godine,1
1286,prvo osjećam bitnim naglasiti da se međunarodna zaštita azil i supsidijarna zaštita odobrava ne samo na temelju činjenice da osoba dolazi iz ratne zone nego kada osoba ima osnovani strah od proganjanja zbog svoje rase vjere nacionalnosti političkog mišljenja ili pripadnosti određenoj društvenoj skupini,1
1287,motivi se od 20152016 nisu bitno promijenili ljudi i dalje bježe od rata progona ili migriraju jer ih je na to prisilila neimaština ili klimatske promjene koje su život u njihovim zemljama učinile nezamislivo teškim,1
1288,u afganistanu u kojem zbog ekstremnih suša 14 milijuna ljudi ima potrebu za pomoći u obliku hrane teritorijalna kontrola talibana raste  trenutačno je najveća od 2001 kada je bio srušen njihov režim,1
1289,u iraku će put do pomirenja biti dug i mučan  izvješća o prisilnim nestancima mučenju i ubojstvima još stižu,1
1290,činjenicu da pri migrantskim i izbjegličkim kretanjima često vidimo mlade muškarce lako je objasniti  mnogi su na put krenuli u nadi da će im u europi biti odobren azil te da će nakon toga na siguran način moći dovesti svoje obitelji i poštedjeti ih puta na kojem su mnogi izgubili život,1
1291,bitno je spomenuti i da u nekim zemljama ako nije jedino muško dijete u obitelji postoji velika vjerojatnost da će mladića paravojska primorati na mobilizaciju  govori tadić,1
1292,ocijenila je i aktualnu situaciju na hrvatskoj granici i oko nje te iznijela svoju procjenu daljnjeg razvoja događaja  iz perspektive migranata ali i građana i političara u hrvatskoj i drugim zemljama eu i regije,1
1293,sasvim je sigurno da će se na tragediji ovih ljudi i dalje skupljati jeftini politički bodovi a nedostatak pravog političkog programa i plana zakrivati populističkom retorikom,1
1294,iz osobnog kontakta i od ljudi koji ondje žive i rade znamo da nedavni prosvjedi kao i stav ljudi u bihaću i kladuši nisu usmjeren protiv izbjeglica i migranata nego protiv federalne vlasti koja je ostavila tu regiju i ljude da se sami nose sa situacijom a to smo napravili i mi kao europa pa je problem regije i eu pao na unskosanski kanton,1
1295,dolaskom zime doći će i do ozbiljnog problema oko dostupnosti smještajnih kapaciteta,1
1296,dodatno valja spomenuti da se sva ova politička panika stvorila sada u vrijeme kad neusporedivo manje ljudi prolazi i balkanskom i mediteranskom rutom a sve više ih stradava,0
1297,nisam optimistična u vezi s razvojem situacije posebice iz perspektive migranata i izbjeglica,0
1298,zamislite kako je ljudima s kojima mi svakodnevno radimo i koji se u takvoj klimi teško mogu osjećati sigurno a pokušavaju na dostojanstven način nastaviti život i postati ravnopravni članovi društva čiji ih dio otvoreno prezire  tvrdi tajana tadić,1
1299,lea horvat iz centra za mirovne studije koja također situaciju na terenu promatra neposredno još od 2015 kaže da se unatoč raširenom dojmu od tada do danas nije znatno promijenio omjer migranata s obzirom na njihovo podrijetlo,1
1300,i dalje su najzastupljenije osobe koje dolaze iz ratom razorenih nesigurnih i disfunkcionalnih bliskoistočnih država sirije iraka i afganistana,0
1301,danas primjećujemo nešto veći udio pakistanaca i iranaca nego prije,0
1302,a određen manji broj migranata dolazi i iz alžira i maroka,0
1303,narativ da danas na naše granice dolaze gotovo isključivo mladi muškarci bez obitelji čime se imputira da su time automatski ekonomski migranti jednostavno nije točan,1
1304,istina je da u improviziranim izbjegličkim kampovima oni čine većinu ali mnoge žene i djeca dakle ranjive skupine smješteni su po drugim objektima,1
1305,ono što se sada događa da se dosta ljudi odlučuje na ilegalan prijelaz hrvatske granice posljedica je promijenjene politike hrvatskih vlasti koje slijede restriktivne politike eu a koja izbjeglice i migrante želi držati što dalje,1
1306,neki se nemajući mogućnost pristupa sigurnim i legalnim putevima odlučuju na ilegalni prelazak granice jer su iz svojih zemalja pobjegli od opasnosti i rata bez ikakvih dokumenata  tvrdi lea horvat,1
1307,dosta pozornosti izazvala je nedavna izjava člana glavnog odbora mosta nizara shoukryja liječnika koji je u hrvatsku došao iz sirije prije više od 30 godina a javnosti je postao poznat jer je bio prevoditelj i pomagač tisućama izbjeglica i migranata koji su 2015 prolazili kroz hrvatsku na putu prema “obećanim” zemljama eu,1
